country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,bank_account
Kenya,2018,uniqueid_2497,Rural,Yes,1,66,Female,Head of Household,Widowed,Tertiary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2498,Rural,Yes,1,57,Male,Head of Household,Married/Living together,Tertiary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2499,Rural,Yes,4,48,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2500,Rural,Yes,3,60,Female,Head of Household,Widowed,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2501,Rural,Yes,6,22,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2502,Rural,Yes,5,48,Female,Head of Household,Widowed,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2503,Urban,Yes,5,35,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_2504,Urban,Yes,10,46,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2505,Urban,Yes,3,40,Female,Head of Household,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_2506,Rural,Yes,7,28,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2507,Urban,Yes,5,35,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed,No
Kenya,2018,uniqueid_2508,Rural,Yes,1,44,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2509,Rural,No,4,38,Male,Head of Household,Married/Living together,Secondary education,Self employed,No
Kenya,2018,uniqueid_2510,Urban,No,3,60,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2511,Urban,Yes,3,44,Female,Parent,Single/Never Married,Vocational/Specialised training,Self employed,No
Kenya,2018,uniqueid_2512,Rural,No,2,66,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2513,Rural,No,6,23,Female,Spouse,Married/Living together,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_2514,Rural,No,2,61,Female,Head of Household,Widowed,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_2515,Rural,No,1,56,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2516,Rural,No,4,16,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2517,Urban,No,5,69,Male,Head of Household,Single/Never Married,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2518,Urban,Yes,1,70,Male,Head of Household,Widowed,Primary education,Self employed,No
Kenya,2018,uniqueid_2519,Urban,No,4,30,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,No
Kenya,2018,uniqueid_2520,Urban,No,5,20,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_2521,Rural,Yes,6,46,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_2522,Rural,No,3,23,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2523,Urban,Yes,1,25,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed,No
Kenya,2018,uniqueid_2524,Urban,Yes,3,30,Female,Head of Household,Single/Never Married,Primary education,Formally employed Private,No
Kenya,2018,uniqueid_2525,Rural,Yes,3,82,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2526,Rural,Yes,2,21,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2527,Urban,Yes,4,52,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,Yes
Kenya,2018,uniqueid_2528,Urban,Yes,5,36,Female,Head of Household,Divorced/Seperated,No formal education,Self employed,No
Kenya,2018,uniqueid_2529,Rural,Yes,1,31,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2530,Urban,Yes,5,70,Female,Head of Household,Widowed,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2531,Rural,Yes,5,84,Male,Head of Household,Married/Living together,Primary education,Other Income,Yes
Kenya,2018,uniqueid_2532,Urban,Yes,9,21,Female,Other relative,Single/Never Married,Primary education,Informally employed,No
Kenya,2018,uniqueid_2533,Rural,No,4,30,Female,Head of Household,Divorced/Seperated,No formal education,Self employed,No
Kenya,2018,uniqueid_2534,Urban,Yes,10,35,Female,Spouse,Married/Living together,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_2535,Rural,Yes,3,48,Female,Head of Household,Married/Living together,Primary education,Formally employed Government,Yes
Kenya,2018,uniqueid_2536,Urban,No,4,16,Male,Child,Single/Never Married,Secondary education,Other Income,No
Kenya,2018,uniqueid_2537,Urban,Yes,1,25,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Government,Yes
Kenya,2018,uniqueid_2538,Urban,Yes,3,23,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2539,Rural,Yes,6,40,Male,Head of Household,Married/Living together,Secondary education,Informally employed,Yes
Kenya,2018,uniqueid_2540,Urban,Yes,3,35,Male,Head of Household,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_2541,Urban,Yes,1,25,Female,Head of Household,Single/Never Married,Secondary education,Self employed,No
Kenya,2018,uniqueid_2542,Rural,No,7,38,Female,Head of Household,Widowed,No formal education,Self employed,No
Kenya,2018,uniqueid_2543,Urban,Yes,1,40,Male,Head of Household,Divorced/Seperated,No formal education,Self employed,No
Kenya,2018,uniqueid_2544,Urban,Yes,6,32,Female,Spouse,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_2545,Rural,Yes,9,40,Female,Spouse,Married/Living together,No formal education,Self employed,No
Kenya,2018,uniqueid_2546,Urban,Yes,3,32,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government,Yes
Kenya,2018,uniqueid_2547,Urban,Yes,8,40,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2548,Rural,Yes,7,25,Female,Spouse,Married/Living together,No formal education,Self employed,No
Kenya,2018,uniqueid_2549,Rural,Yes,5,45,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2550,Urban,Yes,2,65,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,Yes
Kenya,2018,uniqueid_2551,Rural,Yes,3,53,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,No
Kenya,2018,uniqueid_2552,Urban,Yes,3,46,Female,Child,Divorced/Seperated,Primary education,Informally employed,No
Kenya,2018,uniqueid_2553,Rural,Yes,3,64,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2554,Rural,Yes,7,49,Male,Head of Household,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_2555,Rural,Yes,1,46,Female,Head of Household,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_2556,Urban,Yes,2,38,Female,Head of Household,Single/Never Married,Secondary education,Self employed,No
Kenya,2018,uniqueid_2557,Urban,Yes,3,34,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed,Yes
Kenya,2018,uniqueid_2558,Rural,Yes,4,34,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2559,Rural,Yes,3,25,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2560,Rural,Yes,5,40,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2561,Rural,No,3,17,Male,Other relative,Single/Never Married,Primary education,Informally employed,No
Kenya,2018,uniqueid_2562,Rural,Yes,7,30,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2563,Urban,Yes,5,32,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government,Yes
Kenya,2018,uniqueid_2564,Rural,No,1,61,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2565,Rural,Yes,3,23,Female,Other relative,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2566,Rural,Yes,4,48,Female,Child,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_2567,Urban,No,2,64,Female,Head of Household,Single/Never Married,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_2568,Rural,Yes,3,26,Female,Child,Single/Never Married,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_2569,Rural,Yes,2,75,Male,Head of Household,Married/Living together,Primary education,Government Dependent,No
Kenya,2018,uniqueid_2570,Rural,Yes,3,21,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2571,Urban,No,4,16,Male,Child,Single/Never Married,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2572,Urban,Yes,5,47,Male,Head of Household,Married/Living together,Secondary education,Self employed,No
Kenya,2018,uniqueid_2573,Urban,Yes,1,32,Female,Head of Household,Single/Never Married,No formal education,Self employed,No
Kenya,2018,uniqueid_2574,Rural,Yes,8,70,Female,Head of Household,Widowed,No formal education,Government Dependent,Yes
Kenya,2018,uniqueid_2575,Urban,Yes,3,32,Female,Head of Household,Single/Never Married,Primary education,Self employed,No
Kenya,2018,uniqueid_2576,Urban,Yes,1,25,Female,Head of Household,Single/Never Married,Secondary education,Formally employed Private,Yes
Kenya,2018,uniqueid_2577,Rural,Yes,1,73,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_2578,Rural,Yes,9,19,Female,Child,Single/Never Married,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2579,Rural,Yes,3,25,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2580,Rural,Yes,5,54,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2581,Rural,Yes,7,30,Female,Spouse,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_2582,Urban,No,1,75,Female,Head of Household,Widowed,No formal education,Government Dependent,No
Kenya,2018,uniqueid_2583,Urban,Yes,2,44,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_2584,Rural,Yes,3,21,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2585,Rural,No,4,24,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2586,Rural,Yes,6,42,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2587,Urban,Yes,3,24,Female,Head of Household,Married/Living together,Secondary education,Formally employed Government,Yes
Kenya,2018,uniqueid_2588,Rural,Yes,2,24,Male,Other non-relatives,Single/Never Married,Primary education,Formally employed Private,No
Kenya,2018,uniqueid_2589,Urban,Yes,4,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2590,Rural,Yes,6,50,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2591,Rural,Yes,5,26,Female,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_2592,Rural,Yes,3,75,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2593,Rural,No,8,16,Male,Child,Single/Never Married,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2594,Rural,Yes,12,23,Male,Child,Single/Never Married,Secondary education,Informally employed,No
Kenya,2018,uniqueid_2595,Rural,No,3,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2596,Rural,Yes,4,30,Male,Head of Household,Married/Living together,Secondary education,Informally employed,No
Kenya,2018,uniqueid_2597,Urban,Yes,4,33,Male,Head of Household,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_2598,Urban,Yes,3,55,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_2599,Rural,No,2,34,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_2600,Urban,No,11,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2601,Rural,Yes,9,30,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2602,Rural,Yes,6,30,Male,Child,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2603,Urban,Yes,1,24,Male,Head of Household,Single/Never Married,Secondary education,Self employed,No
Kenya,2018,uniqueid_2604,Urban,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Self employed,Yes
Kenya,2018,uniqueid_2605,Urban,Yes,1,30,Male,Head of Household,Single/Never Married,Secondary education,Informally employed,No
Kenya,2018,uniqueid_2606,Urban,Yes,1,49,Female,Head of Household,Single/Never Married,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_2607,Rural,No,8,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2608,Rural,Yes,6,36,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government,Yes
Kenya,2018,uniqueid_2609,Rural,Yes,4,60,Male,Head of Household,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_2610,Urban,Yes,2,34,Male,Head of Household,Dont know,Secondary education,Formally employed Private,Yes
Kenya,2018,uniqueid_2611,Rural,Yes,3,18,Male,Child,Widowed,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2612,Rural,Yes,2,23,Male,Head of Household,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_2613,Urban,Yes,3,65,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2614,Rural,No,3,52,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2615,Rural,Yes,8,40,Female,Spouse,Married/Living together,No formal education,Informally employed,Yes
Kenya,2018,uniqueid_2616,Rural,Yes,4,22,Female,Child,Single/Never Married,Vocational/Specialised training,Remittance Dependent,No
Kenya,2018,uniqueid_2617,Urban,Yes,5,48,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2618,Rural,No,9,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2619,Urban,Yes,1,38,Male,Head of Household,Married/Living together,Secondary education,Informally employed,No
Kenya,2018,uniqueid_2620,Rural,Yes,5,46,Female,Spouse,Married/Living together,Secondary education,Self employed,No
Kenya,2018,uniqueid_2621,Rural,Yes,6,57,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2622,Rural,Yes,4,55,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2623,Urban,Yes,5,54,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,No
Kenya,2018,uniqueid_2624,Rural,Yes,7,33,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2625,Urban,Yes,2,30,Female,Head of Household,Single/Never Married,Primary education,Informally employed,No
Kenya,2018,uniqueid_2626,Urban,Yes,9,48,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_2627,Rural,Yes,3,24,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2628,Urban,Yes,4,80,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2629,Urban,Yes,3,25,Male,Child,Single/Never Married,Secondary education,Informally employed,No
Kenya,2018,uniqueid_2630,Rural,No,4,27,Female,Spouse,Married/Living together,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_2631,Urban,Yes,4,58,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government,Yes
Kenya,2018,uniqueid_2632,Rural,Yes,1,33,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed,No
Kenya,2018,uniqueid_2633,Rural,Yes,8,40,Male,Head of Household,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_2634,Urban,Yes,1,38,Male,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private,Yes
Kenya,2018,uniqueid_2635,Rural,Yes,5,40,Male,Spouse,Married/Living together,Primary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2636,Rural,No,2,16,Male,Child,Divorced/Seperated,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2637,Rural,Yes,1,23,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private,Yes
Kenya,2018,uniqueid_2638,Rural,Yes,2,52,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2639,Rural,Yes,5,23,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,Yes
Kenya,2018,uniqueid_2640,Rural,Yes,9,50,Male,Head of Household,Married/Living together,No formal education,Informally employed,No
Kenya,2018,uniqueid_2641,Rural,No,2,71,Male,Head of Household,Widowed,No formal education,Remittance Dependent,Yes
Kenya,2018,uniqueid_2642,Rural,Yes,3,26,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2643,Urban,Yes,1,32,Male,Head of Household,Single/Never Married,Secondary education,Self employed,No
Kenya,2018,uniqueid_2644,Urban,Yes,6,40,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private,Yes
Kenya,2018,uniqueid_2645,Urban,Yes,2,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2646,Urban,Yes,4,17,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2647,Urban,Yes,1,27,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private,No
Kenya,2018,uniqueid_2648,Urban,Yes,2,70,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2649,Rural,No,11,30,Male,Child,Divorced/Seperated,Primary education,Informally employed,No
Kenya,2018,uniqueid_2650,Urban,Yes,1,26,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private,Yes
Kenya,2018,uniqueid_2651,Rural,Yes,6,45,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2652,Urban,Yes,4,31,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,Yes
Kenya,2018,uniqueid_2653,Urban,Yes,1,40,Female,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government,No
Kenya,2018,uniqueid_2654,Rural,No,4,21,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2655,Rural,Yes,5,26,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_2656,Rural,Yes,6,58,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2657,Urban,Yes,6,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2658,Urban,Yes,1,23,Male,Head of Household,Single/Never Married,Secondary education,Informally employed,Yes
Kenya,2018,uniqueid_2659,Rural,Yes,6,38,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2660,Rural,Yes,2,32,Female,Child,Single/Never Married,Vocational/Specialised training,Formally employed Private,Yes
Kenya,2018,uniqueid_2661,Urban,Yes,1,19,Male,Head of Household,Single/Never Married,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2662,Urban,Yes,7,40,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,Yes
Kenya,2018,uniqueid_2663,Rural,Yes,1,26,Male,Head of Household,Married/Living together,Secondary education,Informally employed,Yes
Kenya,2018,uniqueid_2664,Urban,Yes,3,26,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private,Yes
Kenya,2018,uniqueid_2665,Urban,Yes,9,45,Male,Head of Household,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_2666,Rural,No,2,90,Female,Head of Household,Widowed,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2667,Urban,Yes,1,26,Male,Head of Household,Single/Never Married,Primary education,Informally employed,No
Kenya,2018,uniqueid_2668,Rural,No,6,32,Female,Child,Single/Never Married,Secondary education,Informally employed,No
Kenya,2018,uniqueid_2669,Rural,No,8,29,Female,Other relative,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2670,Rural,Yes,8,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2671,Urban,Yes,4,35,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2672,Urban,Yes,5,50,Female,Spouse,Married/Living together,Primary education,Self employed,Yes
Kenya,2018,uniqueid_2673,Rural,Yes,3,78,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_2674,Rural,Yes,5,39,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2675,Rural,Yes,6,37,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private,Yes
Kenya,2018,uniqueid_2676,Rural,No,2,70,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2677,Urban,Yes,4,33,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent,Yes
Kenya,2018,uniqueid_2678,Rural,Yes,3,55,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2679,Rural,Yes,1,55,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_2680,Rural,No,5,18,Female,Child,Single/Never Married,Primary education,Informally employed,No
Kenya,2018,uniqueid_2681,Rural,Yes,4,57,Female,Spouse,Married/Living together,Primary education,Formally employed Private,No
Kenya,2018,uniqueid_2682,Urban,Yes,3,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_2683,Rural,Yes,5,28,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2684,Urban,Yes,9,20,Male,Child,Single/Never Married,Vocational/Specialised training,Remittance Dependent,Yes
Kenya,2018,uniqueid_2685,Rural,Yes,2,70,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_2686,Urban,Yes,6,58,Female,Head of Household,Married/Living together,Tertiary education,Self employed,Yes
Kenya,2018,uniqueid_2687,Rural,Yes,2,30,Female,Spouse,Married/Living together,Primary education,Informally employed,Yes
Kenya,2018,uniqueid_2688,Rural,No,1,83,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2689,Rural,No,2,67,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2690,Rural,Yes,8,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2691,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_2692,Rural,No,5,25,Male,Other relative,Single/Never Married,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2693,Urban,Yes,5,35,Female,Head of Household,Married/Living together,Secondary education,Informally employed,No
Kenya,2018,uniqueid_2694,Urban,Yes,1,26,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private,Yes
Kenya,2018,uniqueid_2695,Rural,Yes,3,60,Male,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2696,Rural,Yes,6,58,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2697,Rural,Yes,4,66,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2698,Rural,Yes,4,32,Male,Head of Household,Married/Living together,Primary education,Formally employed Government,Yes
Kenya,2018,uniqueid_2699,Rural,Yes,4,58,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_2700,Urban,Yes,1,24,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private,No
Kenya,2018,uniqueid_2701,Rural,Yes,1,22,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Government,Yes
Kenya,2018,uniqueid_2702,Urban,Yes,2,51,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,No
Kenya,2018,uniqueid_2703,Rural,Yes,3,43,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2704,Rural,Yes,5,60,Male,Head of Household,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_2705,Urban,Yes,2,55,Female,Spouse,Married/Living together,Secondary education,Informally employed,No
Kenya,2018,uniqueid_2706,Rural,Yes,8,58,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2707,Rural,No,1,62,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2708,Rural,Yes,2,65,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,Yes
Kenya,2018,uniqueid_2709,Urban,Yes,3,41,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private,Yes
Kenya,2018,uniqueid_2710,Urban,Yes,1,45,Male,Head of Household,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_2711,Rural,No,2,70,Female,Head of Household,Widowed,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_2712,Rural,Yes,5,62,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2713,Rural,Yes,4,36,Female,Head of Household,Widowed,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2714,Rural,Yes,9,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2715,Rural,Yes,6,33,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_2716,Rural,Yes,10,41,Female,Spouse,Married/Living together,No formal education,Informally employed,No
Kenya,2018,uniqueid_2717,Rural,Yes,4,34,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_2718,Urban,Yes,3,43,Female,Head of Household,Single/Never Married,Primary education,Self employed,No
Kenya,2018,uniqueid_2719,Urban,Yes,5,30,Male,Head of Household,Married/Living together,Secondary education,Informally employed,Yes
Kenya,2018,uniqueid_2720,Rural,Yes,5,39,Female,Spouse,Married/Living together,Secondary education,Informally employed,No
Kenya,2018,uniqueid_2721,Urban,Yes,3,26,Male,Head of Household,Married/Living together,Primary education,Self employed,Yes
Kenya,2018,uniqueid_2722,Rural,No,9,24,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2723,Urban,Yes,4,41,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_2724,Rural,Yes,5,39,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_2725,Rural,Yes,4,20,Female,Child,Single/Never Married,Primary education,Remittance Dependent,No
Kenya,2018,uniqueid_2726,Rural,Yes,5,36,Female,Head of Household,Married/Living together,No formal education,Informally employed,No
Kenya,2018,uniqueid_2727,Rural,Yes,10,40,Female,Child,Single/Never Married,Tertiary education,Formally employed Government,Yes
